,id,trigger number,was followed,delay,e,n_date,n_hour,n_day,f_date,f_hour,f_day,group,send_time,viewed_time,age,gender,qual
0,1,1,1.0,803,1,2014-10-13,12,Mon,2014-10-13,12,Mon,Intelligent,12:19:24,12:32:00,48.0,Female,Degree
1,1,2,1.0,2401,1,2014-10-13,18,Mon,2014-10-13,18,Mon,Intelligent,18:04:42,18:44:00,48.0,Female,Degree
2,1,3,0.0,0,1,2014-10-14,11,Tue,1970-01-01,0,Thu,Intelligent,11:12:25,0,48.0,Female,Degree
3,3,1,1.0,9852,1,2014-08-10,20,Sun,2014-08-10,23,Sun,Occasional,20:16:28,23:00:00,42.0,Male,GCSEs / O levels or similar
4,3,2,0.0,0,1,2014-11-10,20,Mon,1970-01-01,0,Thu,Occasional,20:09:49,0,42.0,Male,GCSEs / O levels or similar
5,3,3,1.0,44,1,2014-10-14,19,Tue,2014-10-14,19,Tue,Occasional,19:56:32,19:57:00,42.0,Male,GCSEs / O levels or similar
6,3,4,1.0,10654,1,2014-10-17,19,Fri,2014-10-17,21,Fri,Occasional,19:00:00,21:57:00,42.0,Male,GCSEs / O levels or similar
7,3,5,0.0,0,1,2014-10-20,18,Mon,1970-01-01,0,Thu,Occasional,18:07:00,0,42.0,Male,GCSEs / O levels or similar
8,3,6,0.0,0,1,2014-10-23,20,Thu,1970-01-01,0,Thu,Occasional,20:46:00,0,42.0,Male,GCSEs / O levels or similar
9,3,7,0.0,0,1,2014-10-26,19,Sun,1970-01-01,0,Thu,Occasional,19:19:11,0,42.0,Male,GCSEs / O levels or similar
10,3,8,0.0,0,1,2014-10-29,19,Wed,1970-01-01,0,Thu,Occasional,19:57:14,0,42.0,Male,GCSEs / O levels or similar
11,3,9,1.0,9035,1,2014-01-11,19,Sat,2014-01-11,22,Sat,Occasional,19:54:18,22:24:00,42.0,Male,GCSEs / O levels or similar
12,3,10,0.0,0,1,2014-04-11,20,Fri,1970-01-01,0,Thu,Occasional,20:28:32,0,42.0,Male,GCSEs / O levels or similar
13,4,1,0.0,0,1,2014-05-10,20,Sat,1970-01-01,0,Thu,Occasional,20:21:36,0,15.0,Male,Degree
14,4,2,1.0,16,1,2014-08-10,19,Sun,2014-08-10,19,Sun,Occasional,19:49:01,19:49:00,15.0,Male,Degree
