id,trigger number,notification time,was followed,followed time,delay
1,1,13-10-14 12:19:24,1,13-10-2014 12:32,803
1,2,13-10-14 18:04:42,1,13-10-2014 18:44,2401
1,3,14-10-14 11:12:25,,,0
3,1,08-10-14 20:16:28,1,08-10-2014 23:00,9852
3,2,11-10-14 20:09:49,,,0
3,3,14-10-14 19:56:32,1,14-10-2014 19:57,44
3,4,17-10-14 19:00:00,1,17-10-2014 21:57,10654
3,5,20-10-14 18:07:00,,,0
3,6,23-10-14 20:46:00,,,0
3,7,26-10-14 19:19:11,,,0
3,8,29-10-14 19:57:14,,,0
3,9,01-11-14 19:54:18,1,01-11-2014 22:24,9035
3,10,04-11-14 20:28:32,,,0
4,1,05-10-14 20:21:36,,,0
4,2,08-10-14 19:49:01,1,08-10-2014 19:49,16
4,3,11-10-14 19:18:01,,,0
4,4,14-10-14 18:38:52,,,0
4,5,14-11-14 02:03:32,,,0
5,1,25-09-14 14:56:01,1,25-09-2014 16:27,5471
5,2,26-09-14 11:20:01,,,0
5,3,27-09-14 19:03:01,,,0
5,4,28-09-14 19:40:01,,,0
5,5,29-09-14 19:14:24,,,0
7,1,25-09-14 20:46:11,1,25-09-2014 20:54,503
7,2,26-09-14 19:30:08,,,0
7,3,27-09-14 19:10:42,,,0
7,4,28-09-14 19:17:45,,,0
7,5,29-09-14 20:44:02,,,0
7,6,30-09-14 18:40:55,,,0
7,7,01-10-14 18:29:57,,,0
7,8,02-10-14 19:09:13,,,0
8,1,11-10-14 19:21:07,1,11-10-2014 20:30,4144
8,2,14-10-14 19:01:24,,,0
8,3,17-10-14 18:30:22,,,0
8,4,20-10-14 18:00:14,1,20-10-2014 18:20,1218
8,5,23-10-14 20:05:22,,,0
8,6,26-10-14 18:18:44,,,0
8,7,29-10-14 19:09:01,,,0
8,8,01-11-14 19:06:10,,,0
8,9,04-11-14 18:53:10,1,04-11-2014 20:57,7436
8,10,08-11-14 19:20:46,,,0
8,11,11-11-14 18:56:07,,,0
8,12,14-11-14 18:45:04,,,0
8,13,17-11-14 18:54:28,,,0
8,14,20-11-14 19:29:23,1,20-11-2014 19:41,722
8,15,23-11-14 20:17:32,,,0
8,16,27-11-14 01:30:12,,,0
8,17,01-12-14 00:52:07,1,01-12-2014 00:52,17
8,18,04-12-14 18:48:17,1,04-12-2014 18:58,627
8,19,07-12-14 18:00:45,,,0
8,20,10-12-14 19:02:31,,,0
8,21,13-12-14 20:04:03,,,0
8,22,16-12-14 20:31:58,,,0
8,23,19-12-14 20:24:08,,,0
8,24,22-12-14 19:01:21,,,0
8,25,25-12-14 18:04:15,,,0
8,26,28-12-14 18:40:42,,,0
8,27,31-12-14 17:28:02,1,31-12-2014 17:57,1739
9,1,05-11-14 20:38:46,1,06-11-2014 07:57,40708
10,1,25-09-14 19:14:05,1,25-09-2014 19:20,374
10,2,28-09-14 19:31:07,1,28-09-2014 19:42,681
10,3,01-10-14 18:33:23,1,01-10-2014 19:03,1777
10,4,04-10-14 18:49:04,1,04-10-2014 18:51,132
10,5,07-10-14 20:51:06,1,07-10-2014 22:03,4365
10,6,10-10-14 19:25:18,1,10-10-2014 23:28,14596
10,7,13-10-14 19:46:00,1,13-10-2014 19:51,327
10,8,16-10-14 20:47:09,,,0
10,9,19-10-14 19:01:53,1,19-10-2014 23:26,15883
10,10,22-10-14 20:29:54,,,0
10,11,25-10-14 18:50:09,,,0
10,12,31-10-14 19:59:30,1,31-10-2014 20:33,2061
10,13,03-11-14 20:04:43,1,03-11-2014 20:39,2101
10,14,06-11-14 20:27:57,1,07-11-2014 00:02,12891
10,15,09-11-14 20:21:04,1,09-11-2014 20:24,210
