id,signup time,Group,age,gender,qual
1,13-10-2014 09:39,1,48,Female,Degree
3,07-10-2014 22:07,3,42,Male,GCSEs / O levels or similar
4,04-09-2014 09:53,3,15,Male,Degree
5,17-09-2014 10:43,2,50,Male,Other
6,09-09-2014 20:35,2,5,Male,GCSEs / O levels or similar
7,,,,,
8,10-10-2014 21:54,3,35,Female,Postgraduate degree
9,05-11-2014 12:00,2,39,Male,"Diploma (non degree) e.g. HNC, HND"
10,03-09-2014 19:19,3,33,Female,Postgraduate degree
11,17-09-2014 11:38,2,44,Female,Postgraduate degree
12,07-11-2014 14:46,3,30,Female,Postgraduate degree
14,24-09-2014 22:20,3,35,Female,A levels or similar
16,17-10-2014 21:06,1,44,Male,A levels or similar
17,16-09-2014 19:30,1,39,Female,Degree
18,08-10-2014 16:45,3,42,Female,Postgraduate degree
19,06-11-2014 10:55,3,30,Female,Postgraduate degree
20,27-09-2014 16:33,1,48,Female,Degree
21,19-09-2014 08:21,1,40,Male,GCSEs / O levels or similar
22,24-11-2014 19:21,2,17,Female,No formal educational qualifications
23,16-01-2015 13:55,3,44,Female,Degree
24,19-09-2014 09:45,1,15,Female,Degree
25,06-10-2014 11:28,,12,Male,Degree
26,24-10-2014 09:48,2,39,Female,"Diploma (non degree) e.g. HNC, HND"
27,,,,,
28,24-09-2014 07:55,2,22,Female,No formal educational qualifications
29,01-10-2014 17:15,2,44,Female,GCSEs / O levels or similar
30,13-11-2014 10:45,2,18,Female,Degree
31,25-09-2014 10:48,2,27,Female,Degree
32,18-09-2014 13:34,3,42,Male,No formal educational qualifications
33,04-09-2014 22:05,3,54,Female,Degree
34,24-09-2014 17:06,1,39,Female,Degree
35,13-11-2014 17:42,2,45,Female,"Diploma (non degree) e.g. HNC, HND"
36,23-09-2014 11:13,2,18,Female,No formal educational qualifications
37,20-09-2014 21:10,2,34,Female,GCSEs / O levels or similar
38,29-09-2014 21:10,3,37,Female,Degree
39,13-10-2014 11:28,1,36,Male,No formal educational qualifications
40,17-09-2014 06:52,2,18,Male,Postgraduate degree
42,02-12-2014 20:49,1,32,Male,Postgraduate degree
43,12-09-2014 15:27,1,22,Male,A levels or similar
44,29-10-2014 13:03,1,19,Female,Postgraduate degree
45,16-09-2014 11:31,2,42,Female,Degree
46,21-01-2015 14:25,1,30,Female,No formal educational qualifications
47,20-10-2014 08:43,1,21,Female,Degree
48,01-12-2014 16:14,1,52,Male,Degree
49,07-10-2014 15:49,2,36,Male,"Diploma (non degree) e.g. HNC, HND"
50,30-10-2014 14:42,3,45,Male,Degree
52,06-11-2014 20:41,1,27,Male,Degree
53,17-09-2014 17:42,1,13,Male,A levels or similar
54,24-09-2014 06:58,2,24,Male,A levels or similar
55,16-09-2014 22:35,1,24,Male,Degree
57,09-09-2014 21:21,2,49,Male,"Diploma (non degree) e.g. HNC, HND"
59,17-09-2014 15:14,3,41,Female,GCSEs / O levels or similar
60,12-11-2014 16:19,3,48,Male,No formal educational qualifications
61,17-11-2014 08:29,3,36,Female,Postgraduate degree
62,16-09-2014 13:00,1,15,Female,Postgraduate degree
63,07-10-2014 23:33,1,26,Female,"Diploma (non degree) e.g. HNC, HND"
65,22-12-2014 19:45,3,22,Female,Degree
66,16-09-2014 14:03,2,45,Male,Postgraduate degree
67,,,,,
68,19-09-2014 12:11,1,37,Female,"Diploma (non degree) e.g. HNC, HND"
69,18-10-2014 17:48,2,47,Male,"Diploma (non degree) e.g. HNC, HND"
71,02-09-2014 11:10,2,21,Male,Degree
72,04-09-2014 13:12,2,19,Female,Degree
73,,1,,,
74,01-10-2014 13:40,3,49,Male,"Diploma (non degree) e.g. HNC, HND"
75,18-09-2014 18:20,3,31,Male,A levels or similar
76,30-09-2014 15:30,2,17,Female,Degree
77,22-09-2014 22:33,3,25,Female,Postgraduate degree
78,28-01-2015 14:08,2,23,Female,Degree
79,21-01-2015 19:33,1,33,Female,Postgraduate degree
80,07-01-2015 09:37,3,32,Male,Degree
81,21-01-2015 21:46,1,31,Female,Degree
82,04-09-2014 12:01,3,30,Female,GCSEs / O levels or similar
83,,,40,Female,"Diploma (non degree) e.g. HNC, HND"
84,22-12-2014 09:52,1,55,Male,Degree
85,05-01-2015 17:30,3,37,Female,Degree
86,05-11-2014 09:19,3,39,Female,Degree
87,23-10-2014 11:36,3,37,Female,GCSEs / O levels or similar
88,09-10-2014 10:16,3,43,Female,Postgraduate degree
89,03-11-2014 09:13,3,25,Female,Degree
90,04-09-2014 23:30,1,33,Male,A levels or similar
91,17-09-2014 13:09,2,54,Male,No formal educational qualifications
92,16-09-2014 22:04,2,45,Female,Degree
93,12-09-2014 15:03,1,37,Male,Degree
94,19-09-2014 21:28,1,34,Female,Postgraduate degree
96,03-09-2014 20:53,2,39,Male,Degree
97,18-09-2014 20:50,1,,,
98,03-09-2014 14:45,3,45,Male,GCSEs / O levels or similar
99,10-11-2014 14:08,2,40,Female,A levels or similar
100,04-09-2014 15:53,1,46,Female,Degree
101,22-09-2014 15:19,2,42,Female,Degree
102,13-11-2014 12:10,2,27,Female,GCSEs / O levels or similar
103,09-09-2014 20:13,2,58,Male,GCSEs / O levels or similar
104,17-09-2014 22:45,2,53,Male,"Diploma (non degree) e.g. HNC, HND"
105,23-09-2014 10:36,2,51,Male,"Diploma (non degree) e.g. HNC, HND"
107,16-09-2014 20:03,1,47,Female,Postgraduate degree
108,12-09-2014 15:56,1,9,Male,No formal educational qualifications
109,28-10-2014 22:40,3,23,Female,Degree
110,23-09-2014 16:19,3,10,Male,A levels or similar
112,04-09-2014 13:07,3,35,Female,"Diploma (non degree) e.g. HNC, HND"
113,22-09-2014 12:01,1,39,Female,A levels or similar
114,27-10-2014 12:05,3,31,Female,Degree
115,14-11-2014 17:01,2,46,Female,Postgraduate degree
116,17-10-2014 01:26,1,18,Female,Degree
117,28-11-2014 13:37,3,16,Female,Degree
118,15-09-2014 22:38,2,37,Male,Postgraduate degree
119,12-11-2014 22:56,3,20,Male,Postgraduate degree
120,16-09-2014 11:19,3,26,Male,No formal educational qualifications
121,,,35,Male,No formal educational qualifications
122,24-09-2014 09:20,3,27,Female,A levels or similar
123,23-09-2014 18:04,2,6,Female,GCSEs / O levels or similar
124,05-11-2014 09:18,2,26,Female,Degree
126,23-09-2014 10:00,1,35,Female,Degree
129,20-12-2014 23:10,3,50,Male,GCSEs / O levels or similar
130,24-11-2014 18:18,1,21,Male,No formal educational qualifications
132,15-12-2014 10:38,3,28,Male,GCSEs / O levels or similar
134,22-09-2014 08:44,2,42,Male,Degree
135,23-10-2014 13:23,3,34,Male,No formal educational qualifications
136,21-01-2015 17:26,3,,,
137,13-11-2014 12:09,2,29,Female,GCSEs / O levels or similar
138,19-09-2014 14:04,1,25,Female,GCSEs / O levels or similar
140,12-11-2014 21:12,3,30,Female,Degree
141,20-01-2015 19:06,1,49,Female,A levels or similar
143,10-11-2014 17:51,3,53,Female,No formal educational qualifications
144,20-09-2014 09:24,2,48,Male,"Diploma (non degree) e.g. HNC, HND"
145,17-10-2014 00:01,1,16,Male,Degree
146,12-09-2014 20:44,1,49,Male,Degree
147,16-09-2014 12:10,3,52,Female,Postgraduate degree
148,21-09-2014 11:52,2,19,Female,A levels or similar
149,10-09-2014 04:22,2,30,Female,Degree
152,26-09-2014 08:37,3,21,Male,Degree
153,17-09-2014 21:31,2,34,Male,Degree
154,04-10-2014 13:44,1,11,Male,A levels or similar
155,11-09-2014 06:03,1,48,Male,GCSEs / O levels or similar
156,,3,,,
157,03-10-2014 14:05,1,37,Female,No formal educational qualifications
159,10-09-2014 17:28,3,41,Male,A levels or similar
161,16-09-2014 12:08,2,35,Male,Postgraduate degree
162,04-10-2014 10:02,3,19,Female,GCSEs / O levels or similar
163,04-09-2014 13:07,1,12,Male,Degree
164,17-09-2014 09:11,3,45,Male,GCSEs / O levels or similar
165,05-11-2014 17:10,1,62,Female,GCSEs / O levels or similar
167,,,,,
168,16-09-2014 16:11,3,12,Female,A levels or similar
169,,,,,
170,28-10-2014 07:57,3,32,Female,Degree
171,24-09-2014 10:44,3,40,Male,Postgraduate degree
172,10-09-2014 16:44,1,34,Female,A levels or similar
174,,,,,
175,06-11-2014 12:14,3,33,Female,GCSEs / O levels or similar
176,21-09-2014 08:24,3,36,Female,GCSEs / O levels or similar
178,14-01-2015 14:23,1,20,Female,Postgraduate degree
180,24-09-2014 20:50,2,18,Female,No formal educational qualifications
181,05-11-2014 11:58,1,21,Female,No formal educational qualifications
182,19-09-2014 09:23,2,33,Female,Postgraduate degree
183,20-09-2014 22:42,1,25,Male,Other
184,16-09-2014 09:55,2,48,Male,GCSEs / O levels or similar
185,05-11-2014 09:42,3,35,Male,Postgraduate degree
186,19-09-2014 07:13,2,30,Female,Degree
187,17-12-2014 14:03,3,48,Female,GCSEs / O levels or similar
