id,activity id,page,activity type,status,time,status,time,seconds on page,session number,time since last log
1,Healthy Mind: Basline Consent,Healthy Mind: Basline Consent,info,start,13-10-14 10:37:14.858,,,0,1,0.00
1,Healthy Mind: Basline Consent,Healthy Mind: Basline Consent,info,start,13-10-14 10:37:15.094,complete,13-10-14 10:37:48.662,33,1,0.24
1,baselineSurvey,Healthy Mind: Basline Questionnaire,survey,start,13-10-14 10:37:48.773,complete,13-10-14 10:39:18.532,90,1,0.11
1,WalkSequence,Walking With Awareness,sequence,start,13-10-14 10:39:23.209,,,0,1,4.68
1,WalkAbout,Walking with awareness - Desciption,info,start,13-10-14 10:39:31.755,,,0,1,8.55
1,WalkAbout,Walking with awareness - Desciption,info,start,13-10-14 10:39:31.989,complete,13-10-14 10:39:40.377,9,1,0.23
1,WalkTry,Walking with awareness - Try it out,info,start,13-10-14 10:39:40.439,complete,13-10-14 10:40:02.927,22,1,0.06
1,WalkRate,Rate walking with awareness,survey,start,13-10-14 10:40:02.999,complete,13-10-14 10:40:11.329,9,1,0.07
1,ToolUnlockAlert,Tool Unlocked,info,start,13-10-14 10:40:11.698,,,0,1,0.37
1,ToolUnlockAlert,Tool Unlocked,info,start,13-10-14 10:40:11.759,complete,13-10-14 10:40:17.931,6,1,0.06
1,EnjoyAbout,About Enjoyable Moments,info,start,13-10-14 10:40:22.552,,,0,1,4.62
1,EnjoyAbout,About Enjoyable Moments,info,start,13-10-14 10:40:22.899,complete,13-10-14 10:40:29.828,7,1,0.35
1,EnjoyPlanner,Enjoyable Moments Plans,planner,start,13-10-14 10:40:29.990,complete,13-10-14 10:40:48.854,19,1,0.16
1,EnjoyKeepTrack,Enjoyable Moments Keep track,info,start,13-10-14 10:40:48.969,complete,13-10-14 10:40:55.424,7,1,0.12
1,EnjoyRate,Enjoyable Moments Rate,survey,start,13-10-14 10:40:55.510,complete,13-10-14 10:40:56.753,1,1,0.09
1,ToolUnlockAlert,Tool Unlocked,info,start,13-10-14 10:40:57.101,,,0,1,0.35
1,ToolUnlockAlert,Tool Unlocked,info,start,13-10-14 10:40:57.151,complete,13-10-14 10:41:02.008,5,1,0.05
1,connect msg 1 label,connect_msg_1_label,info,start,13-10-14 12:32:47.665,,,0,2,6705.66
1,connect msg 1 label,connect_msg_1_label,info,start,13-10-14 12:32:47.944,back,13-10-14 12:32:53.155,6,2,0.28
1,enjoy msg 1 label,enjoy_msg_1_label,info,start,13-10-14 18:44:43.302,,,0,3,22310.15
1,enjoy msg 1 label,enjoy_msg_1_label,info,start,13-10-14 18:44:43.542,complete,13-10-14 18:44:51.574,8,3,0.24
1,EnjoyAbout,About Enjoyable Moments,info,start,13-10-14 18:44:52.462,,,0,3,0.89
1,EnjoyAbout,About Enjoyable Moments,info,start,13-10-14 18:44:52.712,back,13-10-14 18:45:01.463,9,3,0.25
1,PositiveSequence,Positive Thinking,sequence,start,13-10-14 19:08:03.116,,,0,4,1381.65
1,PositiveAbout,About Positive Thinking,info,start,13-10-14 19:08:07.012,,,0,4,3.90
1,PositiveAbout,About Positive Thinking,info,start,13-10-14 19:08:07.302,complete,13-10-14 19:08:12.357,5,4,0.29
1,PositivePlanner,Your Positive Thoughts,planner,start,13-10-14 19:08:12.515,complete,13-10-14 19:08:37.326,25,4,0.16
1,PositiveKeepTrack,Positive Thinking Keep track,info,start,13-10-14 19:08:37.446,complete,13-10-14 19:08:44.479,7,4,0.12
1,PositiveRate,Positive Thinking Rate,survey,start,13-10-14 19:08:44.552,complete,13-10-14 19:08:46.980,2,4,0.07
1,ToolUnlockAlert,Tool Unlocked,info,start,13-10-14 19:08:47.462,,,0,4,0.48
1,ToolUnlockAlert,Tool Unlocked,info,start,13-10-14 19:08:47.524,complete,13-10-14 19:08:51.028,4,4,0.06
1,KindAbout,Self Kindness - Desciption,info,start,13-10-14 19:08:57.196,,,0,4,6.17
1,KindAbout,Self Kindness - Desciption,info,start,13-10-14 19:08:57.532,complete,13-10-14 19:09:00.177,3,4,0.34
1,KindTry1,Self Kindness - Try it out,info,start,13-10-14 19:09:00.252,complete,13-10-14 19:09:04.961,4,4,0.08
1,KindTry2,Self Kindness - Try it out,info,start,13-10-14 19:09:05.024,complete,13-10-14 19:09:26.139,21,4,0.06
1,KindRate,Rate Self Kindness,survey,start,13-10-14 19:09:26.254,complete,13-10-14 19:09:27.987,1,4,0.12
1,ToolUnlockAlert,Tool Unlocked,info,start,13-10-14 19:09:28.633,,,0,4,0.65
1,ToolUnlockAlert,Tool Unlocked,info,start,13-10-14 19:09:28.682,complete,13-10-14 19:09:31.498,3,4,0.05
1,MonitorAbout,My Daily Reactions - Desciption,info,start,13-10-14 19:09:37.622,,,0,4,6.12
1,MonitorAbout,My Daily Reactions - Desciption,info,start,13-10-14 19:09:37.844,complete,13-10-14 19:09:47.158,10,4,0.22
1,MonitorReactions,My Daily Reactions - Your Reactions,survey,start,13-10-14 19:09:47.232,complete,13-10-14 19:11:05.227,78,4,0.07
1,MonitorRate,Rate My Daily Reactions,survey,start,13-10-14 19:11:05.588,complete,13-10-14 19:11:09.765,4,4,0.36
1,ToolUnlockAlert,Tool Unlocked,info,start,13-10-14 19:11:10.162,,,0,4,0.40
1,ToolUnlockAlert,Tool Unlocked,info,start,13-10-14 19:11:10.212,complete,13-10-14 19:11:14.288,4,4,0.05
2,Healthy Mind: Basline Consent,Healthy Mind: Basline Consent,info,start,22-10-14 17:32:31.298,,,0,1,0.00
3,Healthy Mind: Basline Consent,Healthy Mind: Basline Consent,info,start,07-10-14 23:01:56.248,,,0,1,0.00
3,Healthy Mind: Basline Consent,Healthy Mind: Basline Consent,info,start,07-10-14 23:01:56.403,complete,07-10-14 23:05:32.044,216,2,0.16
3,baselineSurvey,Healthy Mind: Basline Questionnaire,survey,start,07-10-14 23:05:32.105,complete,07-10-14 23:07:17.018,105,2,0.06
3,WalkSequence,Walking With Awareness,sequence,start,07-10-14 23:07:26.299,,,0,2,9.28
3,WalkAbout,Walking with awareness - Desciption,info,start,07-10-14 23:07:45.795,,,0,2,19.50
3,WalkAbout,Walking with awareness - Desciption,info,start,07-10-14 23:07:46.023,back,07-10-14 23:07:59.674,13,2,0.23
3,KindAbout,Self Kindness - Desciption,info,start,07-10-14 23:08:06.401,,,0,2,6.73
3,KindAbout,Self Kindness - Desciption,info,start,07-10-14 23:08:06.593,back,07-10-14 23:08:20.216,14,2,0.19
3,CWOAbout,About Connect With Others,info,start,07-10-14 23:08:34.744,,,0,2,14.53
3,CWOAbout,About Connect With Others,info,start,07-10-14 23:08:34.975,back,07-10-14 23:08:54.794,20,2,0.23
3,BreatheAbout,3 Minute Breathing Space - Desciption,info,start,07-10-14 23:08:57.278,,,0,2,2.48
3,BreatheAbout,3 Minute Breathing Space - Desciption,info,start,07-10-14 23:08:57.474,complete,07-10-14 23:09:12.441,15,2,0.20
3,BreatheTry,3 Minute Breathing Space - Try it out,info,start,07-10-14 23:09:12.484,back,07-10-14 23:09:19.123,7,2,0.04
3,BreatheAbout,3 Minute Breathing Space - Desciption,info,start,07-10-14 23:09:19.154,back,07-10-14 23:09:19.550,0,2,0.03
3,breathe msg 1 label,breathe_msg_1_label,info,start,08-10-14 23:00:40.690,,,0,3,85881.14
3,breathe msg 1 label,breathe_msg_1_label,info,start,08-10-14 23:00:40.856,complete,08-10-14 23:01:09.499,29,3,0.17
3,BreatheAbout,3 Minute Breathing Space - Desciption,info,start,08-10-14 23:01:10.097,,,0,3,0.60
3,BreatheAbout,3 Minute Breathing Space - Desciption,info,start,08-10-14 23:01:10.318,complete,08-10-14 23:01:52.100,42,3,0.22
3,BreatheTry,3 Minute Breathing Space - Try it out,info,start,08-10-14 23:01:52.150,complete,08-10-14 23:02:59.195,67,3,0.05
