,id,n_date,f_date,group,send_time,viewed_time,phone_status,xyz,loc,ringer_mode,image,personalized,tone_text,app_logs
0,1,2014-10-13,2014-10-13,Intelligent,12:19:24,12:32:00,0,2,2,1,0,0,2,99.65197790659133
1,1,2014-10-13,2014-10-13,Intelligent,18:04:42,18:44:00,1,1,1,0,1,0,2,100.0722196954692
2,1,2014-10-14,1970-01-01,Intelligent,11:12:25,0,1,1,0,1,1,1,2,101.07732032185093
3,3,2014-08-10,2014-08-10,Occasional,20:16:28,23:00:00,0,1,0,1,1,1,0,99.6175783610221
4,3,2014-11-10,1970-01-01,Occasional,20:09:49,0,0,1,0,2,1,1,2,101.07765905578906
5,3,2014-10-14,2014-10-14,Occasional,19:56:32,19:57:00,1,2,2,1,1,0,0,99.26975692417122
6,3,2014-10-17,2014-10-17,Occasional,19:00:00,21:57:00,1,1,1,1,0,0,1,100.42115777319238
7,3,2014-10-20,1970-01-01,Occasional,18:07:00,0,1,0,0,1,1,0,0,101.27517527435442
8,3,2014-10-23,1970-01-01,Occasional,20:46:00,0,1,1,0,0,0,1,0,99.48560597725682
9,3,2014-10-26,1970-01-01,Occasional,19:19:11,0,1,2,0,1,0,1,0,100.00053893869614
10,3,2014-10-29,1970-01-01,Occasional,19:57:14,0,1,2,0,2,0,0,0,100.9922229811278
11,3,2014-01-11,2014-01-11,Occasional,19:54:18,22:24:00,0,1,2,2,0,1,1,100.69601308384034
12,3,2014-04-11,1970-01-01,Occasional,20:28:32,0,1,2,0,1,0,1,0,99.36550054228931
13,4,2014-05-10,1970-01-01,Occasional,20:21:36,0,1,0,2,1,1,1,0,101.04096287387326
14,4,2014-08-10,2014-08-10,Occasional,19:49:01,19:49:00,1,1,1,0,0,0,0,98.12418091303617
15,4,2014-11-10,1970-01-01,Occasional,19:18:01,0,1,1,0,0,0,0,0,97.49537119864827
16,4,2014-10-14,1970-01-01,Occasional,18:38:52,0,0,1,1,1,0,1,0,99.07685731067473
17,4,2014-11-14,1970-01-01,Occasional,02:03:32,0,0,2,1,2,0,0,0,99.1219151158294
18,5,2014-09-25,2014-09-25,Daily,14:56:01,16:27:00,1,2,1,0,0,0,0,101.12524498836532
19,5,2014-09-26,1970-01-01,Daily,11:20:01,0,0,0,1,1,1,1,0,100.45384046999365
20,5,2014-09-27,1970-01-01,Daily,19:03:01,0,1,2,2,0,0,1,0,100.72775977556562
21,5,2014-09-28,1970-01-01,Daily,19:40:01,0,0,2,0,0,1,0,1,100.84880334849002
22,5,2014-09-29,1970-01-01,Daily,19:14:24,0,1,0,1,1,1,1,2,100.26211590313525
31,8,2014-11-10,2014-11-10,Occasional,19:21:07,20:30:00,1,0,2,1,0,0,2,100.23166919690529
32,8,2014-10-14,1970-01-01,Occasional,19:01:24,0,0,1,0,0,1,1,2,101.71388853717411
33,8,2014-10-17,1970-01-01,Occasional,18:30:22,0,0,1,1,1,1,1,0,99.66893761194639
34,8,2014-10-20,2014-10-20,Occasional,18:00:14,18:20:00,0,2,0,1,1,0,0,101.46378929076208
35,8,2014-10-23,1970-01-01,Occasional,20:05:22,0,1,1,1,2,1,0,1,100.43510402351242
36,8,2014-10-26,1970-01-01,Occasional,18:18:44,0,0,1,1,0,1,0,2,99.76214865374904
37,8,2014-10-29,1970-01-01,Occasional,19:09:01,0,1,0,1,0,1,0,2,101.17371878074765
38,8,2014-01-11,1970-01-01,Occasional,19:06:10,0,1,0,0,0,1,0,0,100.77911684824993
39,8,2014-04-11,2014-04-11,Occasional,18:53:10,20:57:00,0,0,1,0,0,1,0,99.98922154271135
40,8,2014-08-11,1970-01-01,Occasional,19:20:46,0,0,2,0,2,1,1,0,100.07565678418996
41,8,2014-11-11,1970-01-01,Occasional,18:56:07,0,1,0,2,0,0,1,0,99.38567062199786
42,8,2014-11-14,1970-01-01,Occasional,18:45:04,0,1,2,1,2,1,0,1,100.43627298261835
43,8,2014-11-17,1970-01-01,Occasional,18:54:28,0,1,0,1,1,0,0,1,100.19897002607804
44,8,2014-11-20,2014-11-20,Occasional,19:29:23,19:41:00,0,2,1,0,0,0,2,98.99605838623857
45,8,2014-11-23,1970-01-01,Occasional,20:17:32,0,1,2,2,1,0,0,1,100.69714604588289
46,8,2014-11-27,1970-01-01,Occasional,01:30:12,0,0,2,0,0,1,1,1,100.92168878251394
47,8,2014-01-12,2014-01-12,Occasional,00:52:07,00:52:00,0,2,0,0,1,0,1,101.02207275417375
48,8,2014-04-12,2014-04-12,Occasional,18:48:17,18:58:00,0,0,1,1,1,1,2,99.60327475491043
